,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
0,2015,1,albert_park,hamilton,British,mercedes,1,1,0,0,0,0,0,0,0.0,30,
1,2015,1,albert_park,rosberg,German,mercedes,2,2,0,0,0,0,0,0,0.5939999999999941,29,0.5939999999999941
3,2015,1,albert_park,massa,Brazilian,williams,3,4,0,0,0,0,0,0,1.3910000000000053,33,0.7970000000000113
2,2015,1,albert_park,vettel,German,ferrari,4,3,0,0,0,0,0,0,1.4300000000000068,27,0.03900000000000148
11,2015,1,albert_park,raikkonen,Finnish,ferrari,5,12,0,0,0,0,0,0,1.4629999999999939,35,0.03299999999998704
5,2015,1,albert_park,ricciardo,Australian,red_bull,6,6,0,0,0,0,0,0,2.0020000000000095,25,0.5390000000000157
8,2015,1,albert_park,sainz,Spanish,toro_rosso,7,9,0,0,0,0,0,0,2.183000000000007,20,0.18099999999999739
13,2015,1,albert_park,grosjean,French,lotus_f1,8,14,0,0,0,0,0,0,2.233000000000004,28,0.04999999999999716
14,2015,1,albert_park,maldonado,Venezuelan,lotus_f1,9,15,0,0,0,0,0,0,3.153000000000006,30,0.9200000000000017
4,2015,1,albert_park,nasr,Brazilian,sauber,10,5,0,0,0,0,0,0,2.472999999999999,22,-0.6800000000000068
12,2015,1,albert_park,max_verstappen,Dutch,toro_rosso,11,13,0,0,0,0,0,0,2.540999999999997,17,0.06799999999999784
15,2015,1,albert_park,kvyat,Russian,red_bull,12,16,0,0,0,0,0,0,2.742999999999995,20,0.20199999999999818
6,2015,1,albert_park,hulkenberg,German,force_india,13,7,0,0,0,0,0,0,2.8810000000000002,27,0.13800000000000523
9,2015,1,albert_park,perez,Mexican,force_india,14,10,0,0,0,0,0,0,2.882000000000005,25,0.0010000000000047748
7,2015,1,albert_park,ericsson,Swedish,sauber,15,8,0,0,0,0,0,0,5.049000000000007,24,2.1670000000000016
10,2015,1,albert_park,button,British,mclaren,16,11,0,0,0,0,0,0,5.094999999999999,35,0.04599999999999227
16,2015,1,albert_park,kevin_magnussen,Danish,mclaren,17,17,0,0,0,0,0,0,5.710000000000008,22,0.6150000000000091
18,2015,2,sepang,hamilton,British,mercedes,1,2,25,1,1,43,1,1,0.0,30,
17,2015,2,sepang,vettel,German,ferrari,2,1,15,0,3,15,0,2,0.07399999999999807,27,0.07399999999999807
19,2015,2,sepang,rosberg,German,mercedes,3,3,18,0,2,43,1,1,0.4650000000000034,29,0.39100000000000534
26,2015,2,sepang,ricciardo,Australian,red_bull,4,10,8,0,6,8,0,5,1.7069999999999936,25,1.2419999999999902
25,2015,2,sepang,kvyat,Russian,red_bull,5,9,0,0,16,8,0,5,2.1169999999999902,20,0.4099999999999966
23,2015,2,sepang,max_verstappen,Dutch,toro_rosso,6,7,0,0,13,2,0,7,2.1469999999999914,17,0.030000000000001137
22,2015,2,sepang,massa,Brazilian,williams,7,6,12,0,4,12,0,4,2.638999999999996,33,0.49200000000000443
21,2015,2,sepang,bottas,Finnish,williams,8,5,0,0,18,12,0,4,3.344999999999999,25,0.7060000000000031
35,2015,2,sepang,ericsson,Swedish,sauber,9,19,4,0,8,14,0,3,3.4269999999999925,24,0.08199999999999363
27,2015,2,sepang,grosjean,French,lotus_f1,10,11,0,0,14,0,0,9,3.1469999999999914,28,-0.28000000000000114
20,2015,2,sepang,raikkonen,Finnish,ferrari,11,4,0,0,12,15,0,2,-7.661000000000001,35,-10.807999999999993
32,2015,2,sepang,maldonado,Venezuelan,lotus_f1,12,16,0,0,15,0,0,9,-7.635999999999996,30,0.025000000000005684
30,2015,2,sepang,hulkenberg,German,force_india,13,14,6,0,7,7,0,6,-6.811000000000007,27,0.8249999999999886
29,2015,2,sepang,perez,Mexican,force_india,14,13,1,0,10,7,0,6,-6.365000000000009,25,0.44599999999999795
