,season,round,driver,driver_points,driver_wins,driver_standings_pos
0,2015,1,hamilton,0.0,0.0,0.0
1,2015,1,rosberg,0.0,0.0,0.0
2,2015,1,vettel,0.0,0.0,0.0
3,2015,1,massa,0.0,0.0,0.0
4,2015,1,nasr,0.0,0.0,0.0
5,2015,1,ricciardo,0.0,0.0,0.0
6,2015,1,hulkenberg,0.0,0.0,0.0
7,2015,1,ericsson,0.0,0.0,0.0
8,2015,1,sainz,0.0,0.0,0.0
9,2015,1,perez,0.0,0.0,0.0
10,2015,1,button,0.0,0.0,0.0
11,2015,1,raikkonen,0.0,0.0,0.0
12,2015,1,max_verstappen,0.0,0.0,0.0
13,2015,1,grosjean,0.0,0.0,0.0
14,2015,1,maldonado,0.0,0.0,0.0
15,2015,1,kvyat,0.0,0.0,0.0
16,2015,1,kevin_magnussen,0.0,0.0,0.0
17,2015,1,bottas,0.0,0.0,0.0
18,2015,2,hamilton,25.0,1.0,1.0
19,2015,2,vettel,15.0,0.0,3.0
20,2015,2,rosberg,18.0,0.0,2.0
21,2015,2,massa,12.0,0.0,4.0
22,2015,2,raikkonen,0.0,0.0,12.0
23,2015,2,nasr,10.0,0.0,5.0
24,2015,2,bottas,0.0,0.0,18.0
25,2015,2,ricciardo,8.0,0.0,6.0
26,2015,2,hulkenberg,6.0,0.0,7.0
27,2015,2,max_verstappen,0.0,0.0,13.0
28,2015,2,sainz,2.0,0.0,9.0
29,2015,2,ericsson,4.0,0.0,8.0
30,2015,2,kvyat,0.0,0.0,16.0
31,2015,2,perez,1.0,0.0,10.0
32,2015,2,grosjean,0.0,0.0,14.0
33,2015,2,button,0.0,0.0,11.0
34,2015,2,merhi,0.0,0.0,0.0
35,2015,2,maldonado,0.0,0.0,15.0
36,2015,2,kevin_magnussen,0.0,0.0,17.0
37,2015,2,alonso,0.0,0.0,0.0
38,2015,2,stevens,0.0,0.0,0.0
39,2015,3,hamilton,43.0,1.0,1.0
40,2015,3,vettel,40.0,1.0,2.0
41,2015,3,rosberg,33.0,0.0,3.0
