,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,2015,1,mercedes,0.0,0.0,0.0
1,2015,1,ferrari,0.0,0.0,0.0
2,2015,1,sauber,0.0,0.0,0.0
3,2015,1,williams,0.0,0.0,0.0
4,2015,1,red_bull,0.0,0.0,0.0
5,2015,1,force_india,0.0,0.0,0.0
6,2015,1,toro_rosso,0.0,0.0,0.0
7,2015,1,mclaren,0.0,0.0,0.0
8,2015,1,lotus_f1,0.0,0.0,0.0
9,2015,2,mercedes,43.0,1.0,1.0
10,2015,2,ferrari,15.0,0.0,2.0
11,2015,2,williams,12.0,0.0,4.0
12,2015,2,sauber,14.0,0.0,3.0
13,2015,2,toro_rosso,2.0,0.0,7.0
14,2015,2,red_bull,8.0,0.0,5.0
15,2015,2,force_india,7.0,0.0,6.0
16,2015,2,lotus_f1,0.0,0.0,9.0
17,2015,2,mclaren,0.0,0.0,8.0
18,2015,2,manor,0.0,0.0,0.0
19,2015,3,mercedes,76.0,1.0,1.0
20,2015,3,ferrari,52.0,1.0,2.0
21,2015,3,williams,30.0,0.0,3.0
22,2015,3,sauber,14.0,0.0,4.0
23,2015,3,red_bull,11.0,0.0,6.0
24,2015,3,toro_rosso,12.0,0.0,5.0
25,2015,3,force_india,7.0,0.0,7.0
26,2015,3,lotus_f1,0.0,0.0,8.0
27,2015,3,mclaren,0.0,0.0,9.0
28,2015,3,manor,0.0,0.0,10.0
29,2015,4,mercedes,119.0,2.0,1.0
30,2015,4,ferrari,79.0,1.0,2.0
31,2015,4,williams,48.0,0.0,3.0
32,2015,4,red_bull,13.0,0.0,5.0
33,2015,4,sauber,19.0,0.0,4.0
34,2015,4,lotus_f1,6.0,0.0,8.0
35,2015,4,toro_rosso,12.0,0.0,6.0
36,2015,4,force_india,7.0,0.0,7.0
37,2015,4,mclaren,0.0,0.0,9.0
38,2015,4,manor,0.0,0.0,10.0
39,2015,5,mercedes,159.0,3.0,1.0
40,2015,5,ferrari,107.0,1.0,2.0
41,2015,5,williams,61.0,0.0,3.0
42,2015,5,red_bull,23.0,0.0,4.0
43,2015,5,sauber,19.0,0.0,5.0
44,2015,5,lotus_f1,12.0,0.0,6.0
45,2015,5,toro_rosso,12.0,0.0,7.0
46,2015,5,force_india,11.0,0.0,8.0
47,2015,5,mclaren,0.0,0.0,9.0
48,2015,5,manor,0.0,0.0,10.0
49,2015,6,mercedes,202.0,4.0,1.0
50,2015,6,ferrari,132.0,1.0,2.0
51,2015,6,williams,81.0,0.0,3.0
52,2015,6,red_bull,30.0,0.0,4.0
53,2015,6,sauber,19.0,0.0,5.0
54,2015,6,force_india,11.0,0.0,8.0
55,2015,6,lotus_f1,16.0,0.0,6.0
56,2015,6,toro_rosso,14.0,0.0,7.0
57,2015,6,mclaren,0.0,0.0,9.0
58,2015,6,manor,0.0,0.0,10.0
59,2015,7,mercedes,242.0,5.0,1.0
60,2015,7,ferrari,158.0,1.0,2.0
61,2015,7,williams,81.0,0.0,3.0
62,2015,7,red_bull,52.0,0.0,4.0
63,2015,7,lotus_f1,16.0,0.0,7.0
64,2015,7,sauber,21.0,0.0,5.0
65,2015,7,force_india,17.0,0.0,6.0
66,2015,7,toro_rosso,15.0,0.0,8.0
67,2015,7,mclaren,4.0,0.0,9.0
68,2015,7,manor,0.0,0.0,10.0
69,2015,8,mercedes,285.0,6.0,1.0
70,2015,8,ferrari,180.0,1.0,2.0
71,2015,8,williams,104.0,0.0,3.0
72,2015,8,red_bull,54.0,0.0,4.0
73,2015,8,force_india,21.0,0.0,7.0
74,2015,8,lotus_f1,23.0,0.0,5.0
75,2015,8,sauber,21.0,0.0,6.0
76,2015,8,toro_rosso,15.0,0.0,8.0
77,2015,8,mclaren,4.0,0.0,9.0
78,2015,8,manor,0.0,0.0,10.0
79,2015,9,mercedes,328.0,7.0,1.0
80,2015,9,ferrari,192.0,1.0,2.0
81,2015,9,williams,129.0,0.0,3.0
82,2015,9,red_bull,55.0,0.0,4.0
83,2015,9,force_india,31.0,0.0,5.0
84,2015,9,lotus_f1,29.0,0.0,6.0
85,2015,9,sauber,21.0,0.0,7.0
86,2015,9,toro_rosso,19.0,0.0,8.0
87,2015,9,mclaren,4.0,0.0,9.0
88,2015,9,manor,0.0,0.0,10.0
89,2015,10,mercedes,371.0,8.0,1.0
90,2015,10,ferrari,211.0,1.0,2.0
91,2015,10,williams,151.0,0.0,3.0
92,2015,10,red_bull,63.0,0.0,4.0
93,2015,10,force_india,39.0,0.0,5.0
94,2015,10,lotus_f1,29.0,0.0,6.0
95,2015,10,toro_rosso,19.0,0.0,8.0
96,2015,10,sauber,21.0,0.0,7.0
97,2015,10,mclaren,5.0,0.0,9.0
98,2015,10,manor,0.0,0.0,10.0
99,2015,11,mercedes,383.0,8.0,1.0
100,2015,11,ferrari,236.0,2.0,2.0
101,2015,11,williams,151.0,0.0,3.0
102,2015,11,red_bull,96.0,0.0,4.0
103,2015,11,lotus_f1,35.0,0.0,6.0
104,2015,11,force_india,39.0,0.0,5.0
105,2015,11,toro_rosso,31.0,0.0,7.0
106,2015,11,sauber,22.0,0.0,8.0
107,2015,11,mclaren,17.0,0.0,9.0
108,2015,11,manor,0.0,0.0,10.0
109,2015,12,mercedes,426.0,9.0,1.0
110,2015,12,ferrari,242.0,2.0,2.0
111,2015,12,williams,161.0,0.0,3.0
112,2015,12,red_bull,108.0,0.0,4.0
113,2015,12,force_india,49.0,0.0,6.0
114,2015,12,lotus_f1,50.0,0.0,5.0
115,2015,12,toro_rosso,35.0,0.0,7.0
116,2015,12,sauber,23.0,0.0,8.0
117,2015,12,mclaren,17.0,0.0,9.0
118,2015,12,manor,0.0,0.0,10.0
119,2015,13,mercedes,451.0,10.0,1.0
120,2015,13,ferrari,270.0,2.0,2.0
121,2015,13,williams,188.0,0.0,3.0
122,2015,13,red_bull,113.0,0.0,4.0
123,2015,13,force_india,63.0,0.0,5.0
124,2015,13,lotus_f1,50.0,0.0,6.0
125,2015,13,toro_rosso,35.0,0.0,7.0
126,2015,13,sauber,25.0,0.0,8.0
127,2015,13,mclaren,17.0,0.0,9.0
128,2015,13,manor,0.0,0.0,10.0
129,2015,14,mercedes,463.0,10.0,1.0
130,2015,14,ferrari,310.0,3.0,2.0
131,2015,14,williams,198.0,0.0,3.0
132,2015,14,red_bull,139.0,0.0,4.0
133,2015,14,force_india,69.0,0.0,5.0
134,2015,14,lotus_f1,50.0,0.0,6.0
135,2015,14,toro_rosso,41.0,0.0,7.0
136,2015,14,sauber,26.0,0.0,8.0
137,2015,14,mclaren,17.0,0.0,9.0
138,2015,14,manor,0.0,0.0,10.0
139,2015,15,mercedes,506.0,11.0,1.0
140,2015,15,ferrari,337.0,3.0,2.0
141,2015,15,williams,208.0,0.0,3.0
142,2015,15,red_bull,139.0,0.0,4.0
143,2015,15,force_india,77.0,0.0,5.0
144,2015,15,lotus_f1,60.0,0.0,6.0
145,2015,15,toro_rosso,44.0,0.0,7.0
146,2015,15,sauber,26.0,0.0,8.0
147,2015,15,mclaren,17.0,0.0,9.0
148,2015,15,manor,0.0,0.0,10.0
149,2015,16,mercedes,531.0,12.0,1.0
150,2015,16,ferrari,359.0,3.0,2.0
151,2015,16,williams,220.0,0.0,3.0
152,2015,16,red_bull,149.0,0.0,4.0
153,2015,16,force_india,92.0,0.0,5.0
154,2015,16,lotus_f1,66.0,0.0,6.0
155,2015,16,toro_rosso,45.0,0.0,7.0
156,2015,16,sauber,34.0,0.0,8.0
157,2015,16,mclaren,19.0,0.0,9.0
158,2015,16,manor,0.0,0.0,10.0
159,2015,17,mercedes,574.0,13.0,1.0
160,2015,17,ferrari,374.0,3.0,2.0
